feature,importance_gain,importance_split
als_score,90219.39383639027,870
num_products,18866.655214544695,754
product_popularity,12014.139518961658,980
candidate_product,5386.379919528961,40
antiguedad,2791.7183139779204,834
ind_actividad_cliente,2182.2980495471525,164
product_prev_popularity,1743.9026608214772,564
tenure_days,1587.3041131718505,695
age,1068.7581334958782,511
renta,1053.850667837813,504
month,664.7010881620266,285
canal_entrada,396.66962027549744,26
prev_ind_cno_fin_ult1,360.33776939395864,97
tiprel_1mes,297.74411091620664,111
prev_ind_cco_fin_ult1,278.2342814866324,145
cod_prov,246.82869235955138,145
segmento,220.9353900274351,176
prev_ind_ecue_fin_ult1,188.00176625208223,77
prev_ind_recibo_ult1,187.17589230127453,104
renta_log,180.4815044014774,113
prev_ind_nom_pens_ult1,159.66489919587184,49
indrel_1mes,144.2240427498121,58
nomprov,135.85778963565826,25
candidate_source_pop,134.58990131602104,75
prev_ind_tjcr_fin_ult1,127.58479098322616,72
prev_ind_nomina_ult1,121.05955646980146,39
sexo,100.49958422694043,62
ind_nuevo,95.6184564164455,40
candidate_source_als,91.68440481637955,19
prev_ind_valo_fin_ult1,76.48457777500153,24
prev_ind_reca_fin_ult1,71.20193017458269,44
prev_ind_dela_fin_ult1,62.8323864689919,27
prev_ind_ctop_fin_ult1,55.533734922650524,31
indext,12.61424419643663,6
prev_ind_ctma_fin_ult1,5.0558600425720215,2
prev_ind_fond_fin_ult1,4.640649914741516,2
prev_ind_ctpp_fin_ult1,2.085658551095321,4
indresi,0.0,0
indrel,0.0,0
ind_empleado,0.0,0
indfall,0.0,0
pais_residencia,0.0,0
prev_ind_cder_fin_ult1,0.0,0
prev_owned_candidate,0.0,0
tipodom,0.0,0
prev_ind_aval_fin_ult1,0.0,0
prev_ind_viv_fin_ult1,0.0,0
prev_ind_pres_fin_ult1,0.0,0
prev_ind_plan_fin_ult1,0.0,0
prev_ind_ahor_fin_ult1,0.0,0
prev_ind_deme_fin_ult1,0.0,0
prev_ind_deco_fin_ult1,0.0,0
prev_ind_ctju_fin_ult1,0.0,0
prev_ind_hip_fin_ult1,0.0,0
